,TOTAL_SECONDS_E,TOTAL_SECONDS_S,ESTACAO_E_m,ESTACAO_S_m
22591,54687,55031,IN,AM
22592,58354,59038,MP,BC
22593,74293,75102,OL,OS
22594,52348,53710,SA,OR
22595,52379,52790,CM,PO
22596,65782,66762,BC,RM
22597,32719,33117,AL,RM
22598,67000,67305,EN,AP
22599,67699,68750,SS,OR
22600,83059,84504,SA,OD
22601,63330,64414,AM,CS
22602,23704,24035,RO,MM
22603,27223,28373,BV,RA
22604,33033,33818,MO,SA
22605,71726,72232,PO,RB
22606,63230,63962,CM,RB
22607,67456,68166,SR,CG
22608,70217,72148,IN,SR
22609,65873,66270,JZ,AH
22610,66597,68530,PI,OR
22611,38358,39031,AF,CM
22612,31744,32301,EC,CU
22613,49150,50191,EC,OD
22614,53084,54367,RA,AM
22615,42786,43786,CU,RA
22616,67217,68395,MP,CM
22617,62216,63859,CM,AN
22618,80426,82381,CM,MM
22619,27329,27836,CG,EC
22620,30495,31452,CG,MP
22621,71976,72295,CG,AL
22622,52721,54601,RO,SS
22623,56422,56900,BC,MP
22624,55331,56514,PO,MP
22625,29089,29882,JZ,PO
22626,28200,29116,AM,LA
22627,60926,61907,BC,AM
22628,69407,70797,MP,AM
22629,63854,64666,MP,CS
22630,60062,61241,SS,IN
22631,48596,48891,MO,OR
22632,73559,74059,CS,IN
22633,64205,64822,MM,AN
22634,59437,60008,RO,IN
22635,72606,73469,AP,OR
22636,58381,59993,RO,OR
22637,62309,63759,TP,CG
22638,49389,50466,LU,SA
22639,33974,34490,CG,CP
22640,64096,65509,MP,RB
22641,63625,64886,PE,OS
22642,71674,72455,MM,AE
22643,48515,50070,CS,EC
22644,32687,33592,IN,AL
22645,56503,57044,CH,OR
22646,35832,36796,CG,QC
22647,46499,47127,AX,QC
22648,62531,63090,PI,EC
22649,28244,28737,EC,CG
22650,30118,31268,SR,EC
22651,67445,68048,AV,BC
22652,78722,79847,OD,AL
22653,23844,25995,AF,LU
22654,64232,64663,SP,CS
22655,85544,86395,MP,CU
22656,79630,80788,PI,OD
22657,59632,60621,SA,TE
22658,67826,69560,RO,TE
22659,77840,78703,AN,TE
22660,85998,87257,SP,CP
22661,27394,28533,LA,BC
22662,68513,69553,OS,EN
22663,27796,28581,MP,BC
22664,55428,55734,RE,AV
22665,69554,70826,RA,CS
22666,66183,67112,EC,LU
22667,47593,47977,RA,MP
22668,29487,30391,EC,OD
22669,47563,48004,JZ,SS
22670,25534,26624,OR,AM
22671,35273,36714,CG,CS
22672,68548,69017,BC,SP
22673,52981,53776,MO,AP
22674,54403,54953,CP,CG
22675,67199,69534,OR,BC
22676,68062,69537,AV,RB
22677,30498,32126,OD,MP
22678,26644,28239,OR,CU
22679,61576,62312,SA,OS
22680,70463,71568,PI,AX
22681,71535,72283,RO,AN
22682,60449,61446,CG,RO
22683,32153,33652,CG,CS
22684,26098,27420,RB,MP
22685,48479,49464,AM,OR
22686,60109,60837,JZ,SS
22687,45738,46620,OR,AM
22688,62086,62672,CU,SA
22689,28930,29659,MO,CH
22690,38046,38999,CG,OD
22691,60522,61617,AM,SP
22692,26382,27362,AS,JZ
22693,62838,63695,SR,AL
22694,32834,33765,CG,RO
22695,33603,34221,CS,RO
22696,48781,49379,MP,JZ
22697,36822,38654,PO,OR
22698,58963,60721,RO,SR
22699,59722,60327,CA,CM
22700,65507,66008,CM,AF
22701,28805,29534,OD,CG
22702,39752,40384,MP,BC
22703,59928,60832,MP,CG
22704,28478,29293,OD,CU
22705,49612,49855,BC,AV
22706,60904,61442,JZ,CM
22707,41937,42211,EC,CU
22708,26616,27762,CG,RO
22709,36390,38268,CS,OR
22710,60680,62076,PO,TP
22711,72642,73322,CG,EC
22712,28747,29161,SA,RA
22713,28020,28838,OS,OR
22714,63917,64905,LA,RB
22715,24162,24926,AM,PI
22716,67244,67982,CG,SR
22717,59311,59824,SA,CU
22718,31485,32071,EC,CG
22719,59769,60526,MP,TP
22720,48414,48888,AN,RO
22721,66969,67964,MO,OL
22722,26290,27253,AE,CS
22723,50669,51324,CU,EC
22724,68421,69146,CU,OD
22725,25342,25747,CS,BC
22726,26036,26393,JZ,AH
22727,36787,38921,AX,JZ
22728,39841,40176,BV,CH
22729,79982,81302,SS,RB
22730,47792,48620,RB,LA
22731,30774,33418,AF,RM
22732,51052,51886,MP,AH
22733,36808,37679,RO,PA
22734,75408,76024,EC,CG
22735,40025,40516,OR,AP
22736,28478,30087,BV,TE
22737,52107,52474,CS,RO
22738,50397,50613,RB,AS
22739,30354,30754,JZ,SS
22740,55600,56379,OR,CH
22741,68425,69278,RA,CG
22742,53374,55004,BC,OR
22743,62978,63581,CG,SA
22744,64861,65827,EC,OD
22745,45579,46074,EC,MP
22746,70780,71150,SP,BC
22747,25819,27544,AF,CS
22748,60627,61868,PE,CG
22749,57210,58513,EC,PE
22750,63082,64094,IN,AL
22751,69040,69851,CM,RB
22752,82221,83439,PO,SS
22753,35537,36396,RE,JZ
22754,27072,27455,EC,CU
22755,61409,61806,CP,MP
22756,68242,69408,LA,TP
22757,29204,30268,SR,AE
22758,25707,27260,AF,MP
22759,66013,66820,CU,OD
22760,84819,86490,MP,EN
22761,37585,38009,MO,OR
22762,69411,70257,MP,CM
22763,43791,45888,MM,PO
22764,82566,83212,BC,SS
22765,66333,67459,MP,CS
22766,43560,44740,SP,LA
22767,33947,34871,QC,RA
22768,72722,73496,JZ,PO
22769,23714,24765,CM,AH
22770,50554,51562,MP,BC
22771,60174,60899,CS,IN
22772,66898,67269,SA,EC
22773,29140,29481,MO,CR
22774,24166,24545,CG,CU
22775,72373,72867,AM,RM
22776,27899,28259,AN,AE
22777,52767,54160,AN,JZ
22778,70557,70792,RB,AS
22779,25816,26580,TP,MP
22780,57960,58750,AV,LA
22781,33515,36301,AS,AL
22782,34309,35152,EC,AX
22783,27055,29031,AX,JZ
22784,32675,33005,RO,CS
22785,29696,30335,JZ,SS
22786,62517,62816,QC,CG
22787,33533,34315,SP,MP
22788,26101,26581,AF,RB
22789,60719,61698,AM,TP
22790,35640,36511,MP,MM
22791,65819,67154,MP,AS
22792,41063,41406,RE,AV
22793,57736,58405,PE,CM
22794,55057,56273,TE,BC
22795,35272,35744,EC,CG
22796,65444,67256,CR,CG
22797,29318,30496,CS,AL
22798,64120,64804,AE,AM
22799,72314,73472,CU,AL
22800,54237,55187,CU,OD
22801,68677,69598,AM,CS
22802,66970,69493,OR,BC
22803,23292,24065,CG,AE
22804,30850,31754,SR,CU
22805,52629,53752,AM,CS
22806,29322,30716,AN,CU
22807,35179,37089,AP,MM
22808,61736,62227,AV,TP
22809,64823,65920,CP,CH
22810,26554,26845,BC,RE
22811,29013,30058,OD,EC
22812,35011,36280,CG,CS
22813,62561,63289,AM,CG
22814,26288,27644,TP,CU
22815,67052,68469,SA,CH
22816,66599,67759,SA,LU
22817,62879,63212,CG,CU
22818,67916,68984,SS,AS
22819,63146,64406,BC,CH
22820,61884,63231,OR,CG
22821,42848,45264,OR,SR
22822,51293,51754,CS,BC
22823,60301,62208,CS,PI
22824,75284,75566,SA,EC
22825,51666,52868,RE,RA
22826,42870,44640,RA,AP
22827,64001,64842,AM,AL
22828,28813,29755,CS,MP
22829,64439,65236,SP,CS
22830,40854,41436,TP,AV
22831,68885,70311,MM,OL
22832,44744,45561,CM,PA
22833,23770,25117,TP,CM
22834,70082,70515,PA,RE
22835,27773,28885,SR,SA
22836,64214,65623,TE,RE
22837,78671,79540,RA,EC
22838,62358,62526,PI,MP
22839,63832,65279,BC,AF
22840,60495,61109,OD,CG
22841,30983,31173,AV,RE
22842,53171,53794,CG,CP
22843,40208,41035,LA,RB
22844,48921,49676,RO,AM
22845,54041,55537,MP,MO
22846,64606,65074,CG,AL
22847,54606,55612,AL,BC
22848,41118,41487,RE,MP
22849,63856,64283,RM,CG
22850,43739,44612,AM,CG
22851,69933,70970,SS,PO
22852,62666,63475,SA,QC
22853,44207,45774,CU,OR
22854,50909,51338,CG,EC
22855,23061,24567,CM,SS
22856,28576,29991,CG,CH
22857,60397,60584,OR,MO
22858,75021,77143,CM,AN
22859,65306,66173,JZ,AV
22860,78021,78835,MP,CM
22861,43704,45511,OR,MM
22862,28645,29670,OR,SA
22863,46755,47053,BC,RE
22864,58768,60645,RA,TE
22865,46294,47561,CM,BC
22866,28927,30630,OL,CU
22867,73265,74876,AM,PO
22868,62112,63200,AV,CM
22869,51861,52761,SA,LU
22870,26353,27651,TP,AH
22871,26315,27042,TP,MP
22872,51840,52622,EC,QC
22873,39336,40157,OR,CH
22874,56429,56890,MP,TP
22875,23160,25077,EN,MP
22876,63430,64018,RE,CS
22877,43126,44624,AV,CM
22878,54748,55280,AN,CS
22879,26148,27929,AS,CS
22880,32174,33239,TP,CP
22881,42009,42725,BV,OR
22882,69828,70256,JZ,CM
22883,30787,31531,MO,SA
22884,72144,72913,RA,CU
22885,47017,48034,AF,SS
22886,60305,62595,MP,AP
22887,63054,64387,MM,TE
22888,50794,51855,QC,SA
22889,30551,31472,TP,AN
22890,82298,83783,SA,CS
22891,75431,76290,JZ,CM
22892,62672,63344,AM,TE
22893,51355,51633,AE,RM
22894,66654,67329,RA,EC
22895,46633,49124,CS,AP
22896,50025,50803,CU,RA
22897,50985,51163,AM,AE
22898,49660,50936,SS,CU
22899,61931,62231,AV,TP
22900,27439,28871,AL,AV
22901,56465,57440,AH,RB
22902,68064,69240,MP,PO
22903,30478,31316,RE,CS
22904,38050,39500,LU,MP
22905,30086,31657,OR,CG
22906,37741,38286,RB,CM
22907,48961,49248,CA,CM
22908,69362,71312,AP,CP
22909,64295,64604,MP,RA
22910,72670,73106,CM,PO
22911,63861,65142,RO,TE
22912,53541,54056,JZ,CM
22913,31583,32182,RO,AN
22914,61576,62174,MP,JZ
22915,59803,60247,SA,EC
22916,32261,32671,EC,CG
22917,29552,30390,QC,MP
22918,34176,35897,OL,TP
22919,67058,69528,SA,OR
22920,64587,64949,CU,EC
22921,84829,85556,AN,AE
22922,48693,50032,LU,RA
22923,69717,70591,LA,RB
22924,80742,81267,RM,TE
22925,36306,38105,SR,RA
22926,67824,69811,CS,EN
22927,65894,67148,RO,TE
22928,28132,29549,PO,BC
22929,29955,30672,CS,AN
22930,45279,45746,MM,CS
22931,31644,32992,SR,RA
22932,26124,27864,CS,CA
22933,64206,65041,MO,OL
22934,29344,29842,EC,CG
22935,46433,47674,TE,QC
22936,66845,68184,OR,AM
22937,85500,87398,RA,TE
22938,26739,27064,PO,CM
22939,68779,69221,JZ,SS
22940,48595,50556,PO,SA
22941,66548,66994,AS,PO
22942,62801,64100,MP,OD
22943,52335,52891,AN,AM
22944,61282,62287,PE,PO
22945,70977,72311,SA,CM
22946,32076,33303,AH,AM
22947,47534,48312,MO,OL
22948,51505,51864,MO,OR
22949,24254,25875,PO,SP
22950,27565,28196,CG,CP
22951,27108,28529,CS,CU
22952,67494,68933,RA,CU
22953,25806,26938,TP,JZ
22954,52652,53051,RM,AE
22955,63278,64063,JZ,PO
22956,34824,35427,AN,BC
22957,27307,27932,CG,CU
22958,66988,68054,MO,BV
22959,50428,51216,CM,RB
22960,28199,28754,MP,EC
22961,68925,69277,AN,AE
22962,65917,66516,AN,BC
22963,36642,38026,AP,OR
22964,73005,73708,AF,CM
22965,27777,29482,JZ,AL
22966,76061,76533,EN,OR
22967,62996,63666,AL,IN
22968,32797,34083,MM,LU
22969,27270,28591,OR,RA
22970,36050,37057,QC,MP
22971,78454,79175,AN,CG
22972,32147,33332,CS,CG
22973,31355,31892,JZ,SS
22974,32472,34340,BV,SR
22975,37391,38268,MP,RO
22976,54616,56466,CS,SR
22977,28317,28577,MP,SA
22978,63484,64535,MP,CP
22979,61509,62547,PA,MM
22980,51729,52670,AN,SP
22981,70268,71526,BC,TE
22982,59602,60494,RA,CG
22983,61279,61678,AN,RM
22984,61172,61572,BC,CS
22985,67112,67867,SA,MP
22986,33876,34886,AH,BC
22987,70121,71049,RM,BC
22988,29447,30417,CG,RO
22989,74002,75913,AN,SR
22990,27077,28559,CG,CH
22991,61480,63088,BC,OL
22992,43719,44578,OR,AM
22993,51191,51415,IN,RO
22994,48279,48828,MM,AM
22995,27676,28530,SP,AV
22996,41240,42230,AV,CU
22997,30367,31917,MO,CU
22998,61341,61819,MP,EC
22999,60447,60849,MP,SS
23000,82092,82668,CU,AX
23001,65328,66187,CR,SA
23002,54543,54810,CU,EC
23003,58151,60069,OR,RA
23004,44538,46433,SA,BC
23005,40877,42760,EC,AM
23006,66124,67058,MM,CG
23007,58559,59124,EC,CG
23008,63289,65053,MP,CG
23009,60917,61921,RA,AM
23010,28807,29230,PE,MP
23011,42916,43881,EC,RA
23012,84442,85273,MP,CS
23013,63352,64964,CR,CS
23014,36922,37607,SA,EC
23015,76969,77757,AM,CG
23016,80527,81450,TP,PE
23017,54833,55651,IN,CS
23018,28291,29642,OD,MP
23019,41738,42886,RM,OL
23020,67157,67886,AL,IN
23021,49506,50203,MP,RE
23022,63569,64836,CS,AL
23023,47492,48870,OR,CU
23024,71577,71725,AE,AM
23025,37789,38919,AN,CU
23026,89813,91624,BC,CM
23027,32365,33972,OD,RA
23028,46874,47469,JZ,CM
23029,62096,63435,BC,CM
23030,64234,65269,AE,CS
23031,71588,73116,SA,LU
23032,64093,65348,CG,MM
23033,61848,63096,SS,EC
23034,37146,37649,CG,RM
23035,29018,30724,OD,MM
23036,71063,72088,SA,SR
23037,76923,77403,MP,TP
23038,43913,45431,CU,OR
23039,52309,52771,CM,PO
23040,46999,47521,CU,EC
23041,66078,67413,RA,LA
23042,69133,70314,BV,EC
23043,27887,28721,OD,CU
23044,50611,52141,CG,BC
23045,59629,60712,AH,RB
23046,67296,67788,CM,JZ
23047,65904,67444,SP,PO
23048,29666,31169,SR,AN
23049,74291,76085,CM,SS
23050,55422,56595,RM,OD
23051,69041,71053,CH,SR
23052,56750,57579,RA,CU
23053,61743,62921,SA,OD
23054,33993,34530,JZ,CM
23055,62475,63298,AN,RE
23056,37574,38561,MO,SA
23057,66170,67304,MM,BV
23058,63402,64184,MP,RE
23059,47334,86401,RO,AM
23060,32315,32797,MP,BC
23061,25687,26662,AF,LA
23062,31088,31641,SR,QC
23063,61710,63099,BC,TE
23064,51037,52757,SA,CS
23065,68817,69744,RE,AH
23066,61543,63315,RA,PO
23067,58823,59872,AM,SS
23068,26624,28256,OD,MP
23069,68332,69297,PI,LU
23070,42011,43654,CG,OR
23071,67424,68037,CP,MP
23072,38542,39198,SA,RA
23073,28836,30898,OL,RB
23074,30396,32051,CS,CP
23075,40875,42279,CU,OR
23076,69782,70321,SA,EC
23077,73151,74252,AM,MO
23078,60963,62544,MM,SR
23079,50576,51156,AE,AN
23080,29808,30870,SR,CU
23081,57417,59680,JZ,AP
23082,51659,53185,AF,SA
23083,71817,73646,MM,MO
23084,55882,56176,RM,AM
23085,71709,72720,PI,CU
23086,34607,35239,CG,AL
23087,30622,31644,PO,MP
23088,36452,36960,CH,OR
23089,29720,31555,OD,BC
23090,42288,42978,SP,BC
23091,27426,28336,CS,RM
23092,80514,81373,SP,RE
23093,51001,52193,RE,PE
23094,63481,64474,LU,OD
23095,64859,65320,CG,CP
23096,72008,73119,CM,BC
23097,58701,60012,IN,OR
23098,59730,61873,AF,CG
23099,61280,62105,MP,JZ
23100,66297,68350,OL,LU
23101,38260,38486,MO,OR
23102,46613,47397,RA,CU
23103,54974,56415,CP,MO
23104,36928,38044,CG,CS
23105,65214,65787,MM,AE
23106,73597,74301,CM,RB
23107,60435,60882,AH,JZ
23108,51400,52196,RB,CM
23109,63374,64280,AM,CG
23110,60854,62290,BV,LU
23111,74925,75408,PE,CM
23112,68063,69039,SA,JZ
23113,68011,68266,AH,JZ
23114,59258,61103,CS,PO
23115,32187,32738,EC,PI
23116,28215,30265,OD,CS
23117,73071,73909,CS,MP
23118,69696,70141,AM,MM
23119,31174,32906,LU,BC
23120,25284,27740,OD,OR
23121,44045,44658,OR,OL
23122,34924,35822,RM,RO
23123,29925,30614,RA,CU
23124,62486,65210,CG,PO
23125,70779,72603,SP,SR
23126,37427,37867,SP,BC
23127,33165,34431,PO,MP
23128,65577,66098,CG,EC
23129,72280,72923,AM,CS
23130,65573,66731,OR,MP
23131,55224,55659,EC,CG
23132,49031,50232,PE,CU
23133,47744,48337,PI,EC
23134,30573,31278,AN,CS
23135,30391,31207,OR,AP
23136,84337,86326,OD,SS
23137,35625,37520,IN,AP
23138,73427,75585,CR,RB
23139,27062,28273,CM,MP
23140,73318,74323,BC,BV
23141,30518,31625,QC,MP
23142,43953,44290,LA,JZ
23143,50580,51284,CU,RA
23144,48050,48779,MP,JZ
23145,41625,42727,SS,EC
23146,28707,30577,RB,AV
23147,82381,84055,BC,AS
23148,66062,67219,AM,CM
23149,39514,40715,BV,AE
23150,62410,64502,OR,AX
23151,67143,68195,MP,EC
23152,35357,36502,TP,RM
23153,32572,33060,MP,CP
23154,52003,53052,RO,SP
23155,47933,48930,MM,SA
23156,50069,50782,CH,AM
23157,53083,54444,AX,EC
23158,58850,59967,CG,OS
23159,47140,47425,CS,RO
23160,80521,82732,RE,OR
23161,69515,70791,RA,LU
23162,39329,40084,SR,QC
23163,27105,27947,LU,CP
23164,82693,83974,TP,LA
23165,34299,34674,SA,RA
23166,28824,29890,EC,AM
23167,51602,52961,OS,CG
23168,34026,35819,CS,CG
23169,52406,53005,SP,TP
23170,52673,53094,AS,RB
23171,64394,65069,RA,EC
23172,62563,64019,CG,CS
23173,57679,59116,RA,AN
23174,63989,64339,MP,RE
23175,70632,71421,MM,CG
23176,42551,43251,CS,AN
23177,59626,60934,RO,CG
23178,32211,32955,AM,CG
23179,68430,69641,TE,OD
23180,81392,82416,RA,QC
23181,62767,63946,CS,RM
23182,36681,38119,PE,MP
23183,27284,27823,EC,PI
23184,60679,61913,CG,CS
23185,60975,61748,RE,JZ
23186,71217,72097,IN,CG
23187,64653,65059,PI,EC
23188,66170,67409,PI,AL
23189,74387,75236,AM,BC
23190,55371,56060,SS,BC
23191,25958,26705,MP,EC
23192,68936,70688,BC,OD
23193,49006,50356,CP,OR
23194,47937,48431,AM,SA
23195,36399,37575,CM,SA
23196,66249,67450,SA,CS
23197,55608,55957,EC,SA
23198,66084,66932,EC,SR
23199,24131,25931,OR,MP
23200,68016,69638,MO,CG
23201,32629,33940,PO,RE
23202,80536,82370,MM,OD
23203,28251,30047,CS,CU
23204,49716,51601,TP,RB
23205,63643,64694,PO,SS
23206,30265,30732,JZ,CM
23207,26811,27569,CG,AE
23208,65447,66221,OR,EN
23209,44945,46493,CU,OR
23210,68390,69825,SA,OD
23211,59644,60964,CU,TP
23212,64382,64897,RA,AV
23213,31472,33062,CA,AM
23214,23308,25099,AS,SA
23215,79785,80552,MM,MP
23216,65132,66688,CS,CM
23217,59255,60734,RA,CH
23218,86689,87824,CM,AS
23219,38858,40671,CH,CG
23220,74682,75386,SP,BC
23221,30392,31350,BC,MP
23222,30065,30570,TP,MP
23223,55399,56404,SR,CU
23224,70813,71300,MO,OR
23225,34790,35146,AL,TE
23226,28874,30086,OD,PI
23227,72600,73593,AV,AM
23228,57963,58633,CM,PE
23229,62016,63613,SS,RB
23230,74018,74447,SA,EC
23231,34487,34753,MM,RO
23232,22971,26403,AF,AP
23233,45701,46418,CU,MP
23234,53609,54795,MP,AS
23235,60822,61983,MP,RM
23236,66491,67035,BC,CS
23237,64630,65831,PI,OD
23238,27427,28149,OR,AP
23239,46467,48300,CM,CG
23240,58867,59612,AM,OR
23241,28303,28510,RM,AL
23242,59312,59812,EC,CP
23243,29672,31705,RA,AP
23244,33397,34523,SR,AL
23245,32613,33931,RE,AS
23246,33474,34309,TP,IN
23247,45075,45706,SP,BC
23248,32349,33242,SA,SR
23249,65798,66922,SS,OR
23250,32195,33526,AM,PA
23251,53981,55838,OR,JZ
23252,38222,39126,JZ,SS
23253,42719,43177,QC,SR
23254,41017,42793,RO,JZ
23255,66234,67143,MP,CG
23256,29276,29868,AV,SP
23257,71429,71805,AV,TP
23258,67771,68954,RE,CA
23259,49926,51384,SA,AL
23260,36462,38892,EN,BC
23261,60143,60524,TP,BC
23262,39148,40323,CS,JZ
23263,52810,53201,EC,CG
23264,43015,43704,SP,MP
23265,29664,30133,RA,SA
23266,60228,62712,OD,TP
23267,30811,31356,EC,PI
23268,56861,57857,LA,PA
23269,63478,63989,RO,CS
23270,58944,59938,CS,RM
23271,71157,71808,AN,AM
23272,46071,47548,CS,PE
23273,29424,29892,EC,PI
23274,35602,36185,SS,CM
23275,28417,30672,AF,AN
23276,40829,41704,AN,CS
23277,57821,59393,MP,AS
23278,34378,35529,OD,CP
23279,25650,26105,OR,OL
23280,45217,46216,SA,OR
23281,77638,78027,AF,AS
23282,43098,43926,BC,PI
23283,55749,56679,SA,CG
23284,48614,49116,TE,CG
23285,54953,56582,SS,OD
23286,26315,26932,CG,PI
23287,65079,66376,PI,SR
23288,64013,64970,PI,OR
23289,24199,25180,BV,AN
23290,61530,62212,CG,PI
23291,29471,30997,AN,CP
23292,80248,81770,OR,SA
23293,61905,63331,CS,CG
23294,58563,59992,CS,AM
23295,52162,53191,MP,CM
23296,66268,67233,OR,AM
23297,67708,68660,AE,SS
23298,63769,65060,RO,CG
23299,56356,57664,CG,BC
23300,65568,67050,RA,OD
23301,31130,33431,EN,CM
23302,48781,49389,SS,JZ
23303,86925,88719,SA,RB
23304,60004,60637,TP,MP
23305,28627,29150,EC,RA
23306,54911,56251,IN,OR
23307,43621,44469,CS,AM
23308,25983,26172,IN,RO
23309,79995,81654,CM,AM
23310,26827,28724,RB,OS
23311,33764,34406,EC,CU
23312,41181,42040,CS,SP
23313,66788,67185,MO,EN
23314,27090,27654,MP,CU
23315,28454,28936,CU,PI
23316,72331,73544,RE,CG
23317,71928,72716,MP,CS
23318,44102,44700,SR,OD
23319,61910,62375,AV,SP
23320,31936,33386,SR,SA
23321,28729,29131,TP,BC
23322,55655,56981,AE,CP
23323,53600,54250,JZ,PO
23324,67904,68319,SS,JZ
23325,66210,68279,CS,OD
23326,28166,28809,SP,CS
23327,26251,27350,MM,BV
23328,28152,29568,OD,AE
23329,46914,47809,PE,TP
23330,29827,31661,RB,OS
23331,54383,54929,CP,MP
23332,62030,63514,CS,MP
23333,62162,63569,MP,OD
23334,70772,71595,CG,OD
23335,64349,66253,TP,RB
23336,28702,29141,LU,CU
23337,43234,43579,RO,CS
23338,66885,67597,BC,AV
23339,52513,55176,MO,OD
23340,56823,58179,SA,TP
23341,25362,26835,PO,MM
23342,57810,58188,MP,CP
23343,68330,69148,CU,SR
23344,61576,62709,SS,AF
23345,55231,55867,LU,CP
23346,56929,60729,RO,RB
23347,51935,53003,RO,MP
23348,51444,53345,BC,OR
23349,62662,63147,SS,RE
23350,27073,28252,CS,CG
23351,65469,65947,BC,CS
23352,67856,68330,CP,CU
23353,37820,38235,CS,RO
23354,29909,30895,AM,CU
23355,50488,51152,MP,EC
23356,30545,31005,CG,EC
23357,63049,63779,AN,RO
23358,67918,68450,RO,IN
23359,62750,63579,SA,EC
23360,31657,31974,JZ,CM
23361,44208,44388,CH,BV
23362,56030,57575,CG,PE
23363,34062,35984,AS,CP
23364,27274,28832,AN,OR
23365,66382,67503,AV,AH
23366,28491,29539,PO,PE
23367,83391,84345,RE,PA
23368,68737,70423,CH,RA
23369,64604,65115,EC,RA
23370,41920,42214,EC,CU
23371,53040,54403,CG,RO
23372,63845,65392,MP,OD
23373,23987,24869,LU,SA
23374,40029,40541,AM,AL
23375,71909,72506,CM,PE
23376,70036,70718,LU,EC
23377,57413,57664,CU,EC
23378,31706,32074,AL,CG
23379,65513,66181,RA,EC
23380,32975,33343,PE,SS
23381,41885,43331,EC,OD
23382,66439,69002,OR,AN
23383,58605,59205,MM,CS
23384,43790,44992,OD,CG
23385,35802,36636,OS,EC
23386,69482,70385,AM,CS
23387,51079,52331,OR,SS
23388,61664,62040,MP,RE
23389,74100,75169,AL,BC
23390,72706,74811,OR,QC
23391,32660,32828,RM,AL
23392,33751,34657,TP,PE
23393,65898,67972,BC,SR
23394,62249,62982,JZ,SA
23395,64169,65931,OR,CG
23396,84776,86031,SA,OD
23397,32591,33028,JZ,AH
23398,57391,57806,SA,EC
23399,65570,67111,MP,RB
23400,32399,32702,CG,AL
23401,39811,40411,RE,SS
23402,27034,27677,OR,CH
23403,70024,71410,CS,SA
23404,50427,52703,AL,EC
23405,67203,68084,AM,CG
23406,60741,61211,AE,AN
23407,49607,50090,MP,EC
23408,40625,41320,OR,AP
23409,53394,53903,SS,AM
23410,63808,64396,PI,EC
23411,51599,52639,QC,PI
23412,46338,47600,CR,RM
23413,85106,85407,RA,MP
23414,65620,67969,OR,OD
23415,35974,36429,CS,BC
23416,60663,61686,AV,JZ
23417,86813,87406,OR,MO
23418,61720,63494,AV,AS
23419,72219,73221,CS,AL
23420,33122,33391,OR,MO
23421,59765,61281,BC,CG
23422,67043,68592,CS,TE
23423,57994,58196,TE,CG
23424,29999,30397,LU,QC
23425,50543,51375,RE,CP
23426,54795,56390,AM,PO
23427,37573,38111,OR,EN
23428,46930,47520,CG,EC
23429,40182,40937,JZ,RE
23430,73386,74495,CM,PA
23431,31278,32226,SR,EC
23432,58233,59403,LA,AS
23433,84492,85340,PO,RB
23434,58936,60529,MM,OS
23435,64320,64670,RB,AF
23436,29626,32281,AS,AL
23437,69779,70299,QC,EC
23438,56168,57566,OD,SA
23439,23322,24177,CS,SS
23440,65925,67347,IN,JZ
23441,65034,65671,RO,CS
23442,41214,42010,MP,CG
23443,82532,83408,BC,AM
23444,70415,71161,EC,QC
23445,28772,29148,LU,CG
23446,46867,48008,RE,CS
23447,82061,82610,RE,MP
23448,36580,37359,CG,RA
23449,24407,26132,MO,SS
23450,78613,79880,RB,SS
23451,33264,34274,AF,PE
23452,39984,40246,OR,MO
23453,28719,29617,OS,MP
23454,26294,26666,EC,PI
23455,87336,88685,BC,CM
23456,78230,92362,SS,AP
23457,32126,33634,CH,AV
23458,29902,31061,CS,SP
23459,32624,34479,JZ,CR
23460,66998,67728,CU,CP
23461,50447,51100,PE,CM
23462,54803,55480,MP,BC
23463,85700,86398,CM,JZ
23464,60990,61218,LA,JZ
23465,69878,70424,AN,CS
23466,49279,51538,RB,SA
23467,50889,51344,SA,CG
23468,57932,58692,LU,AL
23469,26583,27147,PO,AH
23470,33478,34626,BV,AV
23471,66526,67379,SS,CS
23472,64555,64793,CP,EC
23473,77309,78612,BC,AF
23474,59248,59669,CG,AL
23475,69091,70029,OR,SA
23476,30417,31089,JZ,CA
23477,30471,31472,BV,MP
23478,60302,62239,OD,CS
23479,53910,55706,AN,SS
23480,53230,55063,OR,RO
23481,65241,67030,CU,CS
23482,38634,38958,EC,CU
23483,58244,59194,MP,CG
23484,65795,66170,PI,EC
23485,33623,34931,CS,AL
23486,61748,63616,PA,RB
23487,74269,75315,CH,MM
23488,41816,42198,MM,CS
23489,70159,71145,AL,OD
23490,32896,33795,RA,CU
23491,46815,47285,CM,PO
23492,33524,33958,SA,RA
23493,71883,72542,JZ,AV
23494,32747,33311,IN,AM
23495,54930,55612,PE,RE
23496,62499,64001,CH,CS
23497,43121,44001,JZ,RA
23498,73923,76015,AP,CS
23499,48325,48736,RO,CS
23500,34383,34822,SA,EC
23501,41481,43552,AH,MO
23502,61223,62003,MO,OL
23503,39925,40930,AM,CU
23504,53719,55075,MP,PO
23505,58207,58675,PE,JZ
23506,44341,46495,RA,EN
23507,45451,46358,CG,AM
23508,24951,25627,SP,RE
23509,65830,67265,AV,RB
23510,34699,35385,EC,TE
23511,61319,61840,CA,JZ
23512,32579,34159,SA,AN
23513,59295,60030,JZ,SA
23514,65707,67106,JZ,CS
23515,29515,30553,SR,SA
